PlayerId,Name,rotoName,
4248,A. Aminu,Al-Farouq Aminu,
2968439,A. Baynes,Aron Baynes,
4240,A. Bradley,Avery Bradley,
6429,A. Burks,Alec Burks,
2991350,A. Caruso,Alex Caruso,
3064237,A. Cleveland,AntoniusﾠCleveland,
4066387,A. Coffey,Amir Coffey,
2531210,A. Crabbe,Allen Crabbe,
6583,A. Davis,Anthony Davis,
6585,A. Drummond,Andre Drummond,
3064290,A. Gordon,Aaron Gordon,
3922230,A. Holiday,Aaron Holiday,
3213,A. Horford,Al Horford,
2386,A. Iguodala,Andre Iguodala,
2982249,A. Jefferson,Amile Jefferson,
4067045,A. Johnson,Alize Johnson,
2596107,A. Len,Alex Len,
2530923,A. McKinnie,Alfonzo McKinnie,
4349241,A. Mokoka,Adam Mokoka,
2595435,A. Nader,Abdel Nader,
3893059,A. Pasecniks,Anzejs Pasecniks,
6617,A. Rivers,Austin Rivers,
3918423,A. Schofield,Admiral Schofield,
4351851,A. Simons,Anfernee Simons,
4401415,A. Smailagic,Alen Smailagic,
3276,A. Tolliver,Anthony Tolliver,
3907525,A. Trier,Allonzo Trier,
3059319,A. Wiggins,Andrew Wiggins,
4017838,A. Zizic,Ante Zizic,
4066261,B. Adebayo,Bam Adebayo,
6580,B. Beal,Bradley Beal,
6427,B. Biyombo,Bismack Biyombo,
3037789,B. Bogdanovic,Bogdan Bogdanovic,
3593,B. Bogdanovic,Bojan Bogdanovic,
4277882,B. Bowen II,Brian Bowen,
4065670,B. Brown,Bruce Brown,
3113297,B. Caboclo,Bruno Caboclo,
3906665,B. Clarke,Brandon Clarke,
4277952,B. Fernando,Bruno Fernando,
2994526,B. Forbes,Bryn Forbes,
3057198,B. Goodwin,Brandon Goodwin,
3989,B. Griffin,Blake Griffin,
2990984,B. Hield,Buddy Hield,
3913176,B. Ingram,Brandon Ingram,
3059280,B. Johnson,B.J. Johnson,
6448,B. Knight,Brandon Knight,
3448,B. Lopez,Brook Lopez,
4376,B. Marjanovic,Boban Marjanovic,
2578213,B. McLemore,Ben McLemore,
3064482,B. Portis,Bobby Portis,
3907387,B. Simmons,Ben Simmons,
6507,B. Wanamaker,Brad Wanamaker,
1975,C. Anthony,Carmelo Anthony,
3948153,C. Boucher,Chris Boucher,
4066508,C. Brown Jr.,Charles Brown,
3102529,C. Capela,Clint Capela,
3137795,C. Chiozza,Chris Chiozza,
3906603,C. Clemons,Chris Clemons,
3919335,C. Diallo,Cheick Diallo,
4066407,C. Edwards,Carsen Edwards,
3113587,C. Felicio,Cristiano Felicio,
3149010,C. Hutchison,Chandler Hutchison,
3138196,C. Johnson,Cameron Johnson,
6446,C. Joseph,Cory Joseph,
3445,C. Lee,Courtney Lee,
2991043,C. LeVert,Caris LeVert,
3138161,C. Martin,Cody Martin,
3138160,C. Martin,Caleb Martin,
3914283,C. Metu,Chimezie Metu,
3893016,C. Osman,Cedi Osman,
6466,C. Parsons,Chandler Parsons,
2779,C. Paul,Chris Paul,
2580898,C. Randle,Chasson Randle,
4395627,C. Reddish,Cam Reddish,
4277811,C. Sexton,Collin Sexton,
3923253,C. Silva,Chris Silva,
