espn_name,sbr_name,espn_abbrev
Hawks,Atlanta,ATL
Nets,Brooklyn,BKN
Celtics,Boston,BOS
Bulls,Chicago,CHI
Cavaliers,Cleveland,CLE
Mavericks,Dallas,DAL
Nuggets,Denver,DEN
Pistons,Detroit,DET
Warriors,Golden State,GS
Rockets,Houston,HOU
Pacers,Indiana,IND
Clippers,L.A. Clippers,LAC
Lakers,L.A. Lakers,LAL
Grizzlies,Memphis,MEM
Heat,Miami,MIA
Bucks,Milwaukee,MIL
Timberwolves,Minnesota,MIN
Hornets,Charlotte,CHA
Pelicans,New Orleans,NO
Knicks,New York,NY
Thunder,Oklahoma City,OKC
Magic,Orlando,ORL
76ers,Philadelphia,PHI
Suns,Phoenix,PHX
Trail Blazers,Portland,POR
Spurs,San Antonio,SA
Kings,Sacramento,SAC
Raptors,Toronto,TOR
Jazz,Utah,UTAH
Wizards,Washington,WSH
