"","Name","Salary","Team","Position","Opp","IsHome","PMIN","Points","Ceil","Floor"
"1","Will Barton",4500,"WAS","SG\/SF}","MEM","UNKNOWN",32,27.59,37.75,17.91
"2","Jarrett Allen",6800,"CLE","C\/PF}","LAL","UNKNOWN",33,36.78,46.83,26.97
"3","Scottie Barnes",7100,"TOR","PF\/SF}","CHI","UNKNOWN",38,38.15,49.22,28
"4","Kyle Kuzma",6200,"WAS","SF\/PF}","MEM","UNKNOWN",32,32.7,43.21,23.12
"5","Gary Trent Jr.",6000,"TOR","SG\/SF}","CHI","UNKNOWN",36,31.43,43.85,21.54
"6","Norman Powell",4300,"LAC","SF\/SG}","UTA","UNKNOWN",26,22.13,31.54,14.19
"7","Fred VanVleet",7500,"TOR","PG}","CHI","UNKNOWN",36,38.44,51.69,26.44
"8","Precious Achiuwa",4500,"TOR","PF\/C}","CHI","UNKNOWN",26,22.97,32.4,15.69
"9","Kristaps Porzingis",8600,"WAS","C\/PF}","MEM","UNKNOWN",32,43.88,56.48,32.02
"10","Darius Garland",7900,"CLE","SG\/PG}","LAL","UNKNOWN",35,40.07,53.51,29.01
"11","Reggie Jackson",4700,"LAC","PG}","UTA","UNKNOWN",33,23.8,33.18,15.84
"12","Mike Conley",5900,"UTA","PG}","LAC","UNKNOWN",32,29.79,41.4,20.2
"13","Marcus Morris",5700,"LAC","PF\/SF}","UTA","UNKNOWN",33,28.36,38.63,18.83
"14","Evan Mobley",6600,"CLE","PF\/C}","LAL","UNKNOWN",33,32.69,42.7,22.96
"15","Jarred Vanderbilt",5800,"UTA","PF}","LAC","UNKNOWN",26,28.08,38.2,19.45
"16","Patrick Williams",4100,"CHI","SF\/PF}","TOR","UNKNOWN",31,19.86,27.92,11.82
"17","LeBron James",10000,"LAL","SF\/PF}","CLE","UNKNOWN",37,48.33,61.34,36.54
"18","Jordan Clarkson",6700,"UTA","PG\/SG}","LAC","UNKNOWN",32,32.12,44.57,22.14
"19","Steven Adams",5800,"MEM","C}","WAS","UNKNOWN",26,27.45,37.93,19.94
"20","Caris LeVert",6500,"CLE","SG\/SF}","LAL","UNKNOWN",35,30.71,40.87,21.28
"21","Collin Sexton",5000,"UTA","SG}","LAC","UNKNOWN",28,23.47,32.91,15.24
"22","Paul George",9000,"LAC","SG\/SF}","UTA","UNKNOWN",35,42.2,54.92,30.66
"23","Desmond Bane",8100,"MEM","SG\/SF}","WAS","UNKNOWN",34,37.89,51.09,26.87
"24","Kelly Olynyk",5500,"UTA","C\/PF}","LAC","UNKNOWN",26,25.6,35.04,17.37
"25","Dillon Brooks",5600,"MEM","SG\/SF}","WAS","UNKNOWN",29,25.9,36.93,17.18
"26","Donovan Mitchell",9600,"CLE","SG\/PG}","LAL","UNKNOWN",37,44.02,56.16,32.1
"27","Zach LaVine",7100,"CHI","SG\/SF}","TOR","UNKNOWN",34,32.39,44.54,22.86
"28","Monte Morris",5300,"WAS","PG}","MEM","UNKNOWN",30,23.95,34.68,15.97
"29","Anthony Davis",10600,"LAL","PF\/C}","CLE","UNKNOWN",35,46.92,60.68,36.29
"30","John Wall",5400,"LAC","PG\/SG}","UTA","UNKNOWN",22,23.76,32.88,15.36
"31","OG Anunoby",7800,"TOR","SF\/SG}","CHI","UNKNOWN",38,33.63,45.81,23.88
