"","avg","prob_0","prob_1","prob_2","prob_3","prob_4","prob_5","prob_6","prob_7","prob_8","prob_9","prob_10","prob_11","prob_12","prob_13","prob_14","prob_15","prob_16","prob_17","prob_18","prob_19","prob_20","prob_21","prob_22","prob_23","prob_24","prob_25","prob_26","prob_27","prob_28","prob_29","prob_30","prob_31","prob_32","prob_33","prob_34","prob_35","prob_36","prob_37","prob_38","prob_39","prob_40","prob_41","prob_42","prob_43","prob_44","prob_45","prob_46","prob_47","prob_48","prob_49","prob_50"
"1",2,0.250575,0.16925,0.1795,0.157325,0.11705,0.070175,0.033875,0.01535,0.00515,0.001325,0.000375,2.5e-05,2.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2.1,0.235725,0.178925,0.1795,0.155075,0.116325,0.0711,0.0369,0.0173,0.006625,0.00175,0.00055,0.00015,7.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",2.2,0.221475,0.20005,0.182875,0.149275,0.103375,0.06815,0.040375,0.0204,0.008025,0.00425,0.001175,0.000475,2.5e-05,7.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",2.3,0.20785,0.16895,0.178275,0.158075,0.12335,0.08135,0.04585,0.021775,0.01005,0.00325,0.00085,3e-04,7.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",2.4,0.194875,0.1825,0.1837,0.155575,0.1204,0.07845,0.046225,0.022675,0.00985,0.0035,0.0016,0.00045,0.000175,2.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",2.5,0.1825,0.182325,0.179175,0.15635,0.1197,0.081625,0.0488,0.028225,0.012275,0.006125,0.00205,0.00065,0.00015,5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",2.6,0.17075,0.171725,0.17455,0.159925,0.12705,0.088125,0.054,0.029075,0.0157,0.00615,0.002175,6e-04,0.000125,5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",2.7,0.159625,0.1865,0.178675,0.152525,0.119075,0.0855,0.0562,0.03135,0.016325,0.007675,0.004025,0.00155,0.000725,0.000125,0.000125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",2.8,0.149075,0.186725,0.177475,0.155725,0.121575,0.08555,0.056375,0.033325,0.01825,0.009375,0.0038,0.0018,7e-04,2e-04,2.5e-05,2.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",2.9,0.139125,0.165825,0.17235,0.15835,0.1306,0.0964,0.06615,0.0354,0.02055,0.00935,0.003525,0.0015,0.000525,2e-04,1e-04,5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",1,0.4286,0.2114,0.186275,0.109775,0.04575,0.0145,0.003075,6e-04,2.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",1,0.4286,0.23,0.1761,0.101375,0.04475,0.0145,0.0036,0.000975,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",1.1,0.40895,0.206375,0.185,0.11555,0.058225,0.019325,0.005375,0.00105,0.00015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",1.2,0.38955,0.20325,0.182125,0.127525,0.06475,0.024575,0.0067,0.001325,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",1.3,0.370525,0.199325,0.18325,0.129925,0.0729,0.029525,0.0112,0.002625,6e-04,0.000125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",1.4,0.3519,0.21855,0.181975,0.12285,0.0717,0.0329,0.013825,0.004775,0.00115,0.000325,5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",1.5,0.3337,0.196025,0.1844,0.136875,0.081825,0.04255,0.0161,0.006725,0.00145,3e-04,5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",1.6,0.315975,0.202175,0.183525,0.137825,0.08535,0.045625,0.019575,0.0074,0.00185,0.000525,0.000125,5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",1.7,0.298775,0.19635,0.18595,0.142025,0.092975,0.05,0.022375,0.0085,0.002225,0.00065,0.000175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",1.8,0.282125,0.17975,0.1846,0.15,0.103525,0.05975,0.02575,0.0107,0.002825,0.00085,1e-04,2.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",1.9,0.26605,0.208925,0.1796,0.140825,0.09645,0.05575,0.03025,0.013075,0.005625,0.002575,0.000675,0.00015,5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",0.5,0.529075,0.292,0.1418,0.033525,0.00345,0.00015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",0.6,0.5089,0.26595,0.1594,0.054325,0.010125,0.001175,0.000125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",0.7,0.4887,0.24435,0.172,0.07175,0.0196,0.00335,0.00025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",0.8,0.46855,0.226575,0.177625,0.088725,0.03045,0.00685,0.0012,2.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",0.9,0.4485,0.2245,0.176575,0.1001,0.03745,0.010675,0.002025,0.000175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",3,0.129725,0.174825,0.1709,0.15495,0.1288,0.09555,0.064425,0.038525,0.02255,0.011425,0.004925,0.00205,8e-04,0.00035,0.00015,2.5e-05,0,2.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",3.1,0.120875,0.164725,0.172325,0.155125,0.130375,0.099175,0.0684,0.0417,0.024225,0.013375,0.006,0.002475,0.000625,0.00035,0.000125,0.000125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
